State,Avg Daily Distance (km),Brand,Model,Price (INR),Year of Manufacture,Engine Capacity (cc),Fuel Type,Mileage (km/l),Owner Type,Registration Year,Insurance Status,Seller Type,Resale Price (INR),City Tier,Depreciation (INR),Depreciation %,Bike Age (Years)
Uttar Pradesh,26.88,Bajaj,Avenger 220,214030,2016,176,Petrol,52.02,Third,2018,Not Available,Dealer,91233.3,Tier 2,122796.7,57.37359248703453,2
West Bengal,43.79,KTM,390 Adventure,325963,2022,375,Hybrid,64.4,Second,2022,Expired,Dealer,157743.79,Tier 1,168219.21,51.60684188082696,0
West Bengal,55.91,Honda,Dio,136156,2016,579,Petrol,31.95,First,2016,Active,Dealer,65576.03,Tier 3,70579.97,51.83757601574664,0
Punjab,44.7,Hero,Glamour,198786,2019,542,Petrol,29.49,First,2019,Expired,Individual,145261.54,Tier 2,53524.45999999999,26.92566880967472,0
Uttar Pradesh,13.58,Hero,Xtreme 160R,250462,2015,647,Electric,88.97,Third,2017,Not Available,Individual,115865.15,Tier 1,134596.85,53.73942953422076,2
West Bengal,11.01,TVS,Ronin,236303,2021,877,Petrol,53.11,Third,2023,Active,Individual,103242.42,Tier 3,133060.58000000002,56.3093062720321,2
Karnataka,32.64,Honda,Shine,336638,2017,575,Hybrid,70.37,Third,2021,Not Available,Individual,238462.12,Tier 3,98175.88,29.163635715516374,4
Madhya Pradesh,39.46,TVS,NTorq 125,292002,2016,277,Electric,82.5,Second,2019,Active,Dealer,215862.87,Tier 3,76139.13,26.074865925575853,3
West Bengal,48.16,Yamaha,Fascino 125,140993,2022,382,Hybrid,77.81,Third,2022,Not Available,Individual,96056.57,Tier 3,44936.42999999999,31.871390778265585,0
Punjab,30.35,Bajaj,Avenger 220,91498,2018,973,Electric,61.28,Third,2020,Active,Dealer,46132.61,Metro,45365.39,49.580744934315504,2
Tamil Nadu,22.58,Yamaha,FZ V3,65569,2015,169,Hybrid,73.29,First,2015,Active,Individual,35079.4,Tier 3,30489.6,46.500022876664275,0
Karnataka,60.74,KTM,390 Adventure,61526,2016,598,Electric,81.38,Second,2022,Not Available,Individual,27992.34,Metro,33533.66,54.50323440496702,6
Tamil Nadu,20.63,Honda,Shine,146308,2019,808,Hybrid,83.77,Second,2022,Not Available,Dealer,80884.08,Tier 2,65423.92,44.71657052245947,3
Tamil Nadu,8.92,Yamaha,Fascino 125,326280,2017,837,Hybrid,88.88,Second,2023,Expired,Individual,203791.95,Tier 3,122488.04999999999,37.540777859507166,6
Maharashtra,23.12,Yamaha,FZ V3,116504,2017,699,Hybrid,90.02,Third,2022,Expired,Individual,53430.47,Tier 2,63073.53,54.13851026574194,5
Karnataka,31.27,TVS,Apache RTR 160,224917,2016,454,Petrol,27.28,Third,2024,Expired,Dealer,103546.72,Tier 3,121370.28,53.96225274212265,8
Tamil Nadu,76.53,Bajaj,Avenger 220,66953,2015,692,Petrol,46.34,Third,2018,Active,Individual,40528.9,Tier 1,26424.1,39.46664077785909,3
Tamil Nadu,68.73,Kawasaki,Ninja 300,239548,2015,998,Petrol,33.1,Third,2021,Not Available,Individual,153335.69,Tier 2,86212.31,35.98957620184681,6
Madhya Pradesh,56.35,TVS,Ronin,101199,2018,230,Electric,90.48,First,2018,Expired,Individual,66574.27,Metro,34624.729999999996,34.21449816697793,0
Madhya Pradesh,59.34,TVS,Apache RTR 160,356435,2024,662,Electric,65.06,Third,2024,Not Available,Dealer,250941.57,Tier 2,105493.43,29.596821299816234,0
Punjab,75.51,Yamaha,R15 V4,363271,2024,612,Petrol,29.12,First,2024,Active,Individual,182952.79,Metro,180318.21,49.63738090846778,0
Maharashtra,56.7,Kawasaki,Ninja 300,375575,2015,530,Petrol,42.98,First,2015,Not Available,Dealer,291922.32,Metro,83652.68,22.27322904879185,0
Gujarat,30.39,Kawasaki,Versys 650,130472,2017,857,Hybrid,63.08,First,2017,Expired,Dealer,67273.42,Tier 1,63198.58,48.43842356980808,0
Karnataka,74.59,Yamaha,Ray ZR,396806,2018,954,Petrol,54.56,First,2018,Not Available,Dealer,174047.2,Tier 2,222758.8,56.13796162356416,0
Delhi,58.04,TVS,Sport,75299,2018,484,Petrol,30.61,First,2018,Active,Dealer,59021.8,Tier 1,16277.199999999997,21.616754538572884,0
Maharashtra,13.42,Honda,Unicorn,155436,2024,133,Petrol,51.53,Third,2024,Active,Dealer,109227.11,Tier 2,46208.89,29.72856352453743,0
Tamil Nadu,9.38,TVS,Apache RTR 160,142576,2016,705,Petrol,31.41,Second,2021,Not Available,Individual,77826.08,Metro,64749.92,45.4143193805409,5
Karnataka,22.43,Honda,CBR 650R,207485,2015,133,Electric,62.38,First,2015,Active,Individual,116449.3,Tier 1,91035.7,43.87579825047594,0
Delhi,64.54,Bajaj,Pulsar 150,395607,2022,136,Hybrid,91.96,First,2022,Not Available,Dealer,289590.78,Metro,106016.21999999997,26.79836807741015,0
Delhi,55.63,Bajaj,CT 100,320670,2023,425,Hybrid,70.59,Third,2024,Expired,Individual,154994.96,Metro,165675.04,51.66527582873359,1
Uttar Pradesh,56.01,Honda,Activa,364901,2021,105,Hybrid,70.45,Third,2021,Expired,Dealer,205957.55,Metro,158943.45,43.55796503709225,0
Delhi,59.65,Kawasaki,Z650,320388,2022,680,Electric,65.63,First,2022,Not Available,Individual,139114.13,Tier 1,181273.87,56.579481753374026,0
Tamil Nadu,57.46,Bajaj,Dominar 400,307685,2021,787,Petrol,26.19,First,2021,Active,Individual,135348.28,Metro,172336.72,56.01076425565107,0
Maharashtra,12.21,Kawasaki,Ninja 400,125721,2021,256,Petrol,51.54,First,2021,Expired,Individual,87080.18,Tier 3,38640.82000000001,30.735374360687562,0
Tamil Nadu,31.13,KTM,250 Duke,120785,2016,842,Electric,60.76,Third,2018,Expired,Dealer,58524.42,Tier 1,62260.58,51.546615887734404,2
Rajasthan,68.86,TVS,Apache RTR 160,322805,2020,274,Electric,69.06,Third,2021,Not Available,Dealer,179197.1,Metro,143607.9,44.48750793822896,1
Maharashtra,40.26,Honda,Activa,278177,2022,520,Hybrid,87.52,First,2022,Not Available,Individual,183999.58,Tier 1,94177.42000000001,33.8552144857411,0
Madhya Pradesh,56.33,Yamaha,MT-15,376238,2017,827,Hybrid,74.64,Second,2021,Not Available,Dealer,292050.9,Tier 2,84187.09999999998,22.37602262397737,4
Maharashtra,58.88,TVS,Jupiter,203805,2015,979,Electric,60.96,Second,2022,Active,Dealer,141970.73,Tier 2,61834.26999999999,30.339918058928873,7
Madhya Pradesh,38.92,TVS,NTorq 125,376543,2020,718,Hybrid,65.83,First,2020,Active,Dealer,212871.29,Metro,163671.71,43.466937375014275,0
Gujarat,42.76,Bajaj,Dominar 400,393995,2018,293,Hybrid,68.7,Third,2020,Expired,Dealer,219346.47,Tier 1,174648.53,44.32760060406858,2
Madhya Pradesh,71.06,Royal Enfield,Hunter 350,252320,2023,807,Electric,81.94,Second,2023,Active,Individual,120037.48,Tier 3,132282.52000000002,52.42649017121117,0
Tamil Nadu,33.77,Bajaj,CT 100,121087,2022,151,Petrol,37.81,Second,2023,Expired,Individual,55965.1,Tier 2,65121.9,53.78108302295044,1
Punjab,36.19,KTM,250 Duke,275695,2015,617,Hybrid,90.42,Third,2015,Not Available,Individual,201257.8,Tier 2,74437.20000000001,26.999836776147557,0
Punjab,38.31,KTM,RC 390,340454,2016,103,Hybrid,66.65,Second,2019,Expired,Individual,262394.28,Tier 3,78059.71999999997,22.928125385514626,3
Gujarat,34.94,Yamaha,Fascino 125,141000,2015,593,Electric,72.83,Third,2019,Expired,Dealer,81853.75,Tier 2,59146.25,41.94769503546099,4
Maharashtra,48.08,Yamaha,Fascino 125,320003,2019,380,Hybrid,66.92,First,2019,Not Available,Individual,205911.58,Tier 2,114091.42000000001,35.65323450092656,0
Madhya Pradesh,41.71,TVS,Sport,379513,2019,593,Petrol,44.83,Third,2022,Not Available,Dealer,239699.49,Tier 3,139813.51,36.84024262673479,3
Maharashtra,19.62,Bajaj,CT 100,135697,2020,519,Petrol,30.18,Second,2020,Expired,Individual,57333.52,Tier 1,78363.48000000001,57.748866960949776,0
Tamil Nadu,17.72,Yamaha,FZ V3,222167,2019,670,Hybrid,80.82,Third,2024,Expired,Dealer,144576.81,Tier 1,77590.19,34.924264179648645,5
Maharashtra,37.9,Kawasaki,Ninja 300,91212,2020,765,Petrol,37.22,Second,2023,Not Available,Dealer,61811.9,Tier 2,29400.1,32.2327106082533,3
Rajasthan,35.83,Kawasaki,Ninja 400,203537,2024,395,Petrol,46.35,First,2024,Active,Dealer,87374.49,Tier 3,116162.51,57.07193778035443,0
Uttar Pradesh,46.01,Hero,Passion Pro,221366,2021,548,Hybrid,65.05,Third,2024,Active,Dealer,143221.15,Metro,78144.85,35.30119801595548,3
Uttar Pradesh,38.37,Kawasaki,Ninja 300,134073,2024,513,Petrol,49.64,Third,2024,Active,Individual,59613.59,Tier 3,74459.41,55.536468938563324,0
Tamil Nadu,57.96,KTM,250 Duke,332860,2018,948,Petrol,36.24,Second,2023,Active,Dealer,213065.8,Tier 2,119794.20000000001,35.98936489815539,5
Punjab,42.28,Bajaj,Avenger 220,77951,2024,351,Electric,78.87,Third,2024,Active,Individual,58220.21,Tier 3,19730.79,25.31178560890816,0
West Bengal,50.98,TVS,Ronin,119946,2021,893,Electric,76.14,First,2021,Not Available,Dealer,70010.31,Tier 3,49935.69,41.631809314191386,0
Rajasthan,72.95,Yamaha,Ray ZR,161061,2016,785,Electric,93.42,First,2016,Not Available,Individual,79906.81,Metro,81154.19,50.387238375522315,0
Uttar Pradesh,45.25,Kawasaki,Ninja 300,211015,2015,899,Hybrid,83.06,Third,2022,Expired,Individual,132101.72,Tier 2,78913.28,37.397000213254984,7
West Bengal,10.98,TVS,Sport,272377,2021,536,Electric,88.46,Third,2021,Not Available,Individual,194324.61,Metro,78052.39000000001,28.65601354005662,0
Delhi,66.8,Royal Enfield,Interceptor 650,51819,2015,658,Hybrid,89.99,First,2015,Not Available,Dealer,40071.87,Tier 2,11747.129999999997,22.66954205986221,0
Delhi,57.79,Royal Enfield,Hunter 350,133542,2024,965,Hybrid,60.26,First,2024,Expired,Dealer,74939.98,Tier 2,58602.020000000004,43.882838357969774,0
Gujarat,25.09,KTM,RC 390,389950,2019,401,Hybrid,72.65,Third,2023,Active,Individual,235149.64,Tier 3,154800.36,39.697489421720725,4
West Bengal,65.63,Bajaj,CT 100,134121,2024,401,Petrol,32.55,Third,2024,Expired,Dealer,78547.55,Metro,55573.45,41.43530841553522,0
Madhya Pradesh,35.62,Honda,Activa,223597,2016,322,Electric,85.05,First,2016,Active,Dealer,158829.93,Metro,64767.07000000001,28.96598344342724,0
Maharashtra,18.16,Yamaha,R15 V4,215325,2020,174,Hybrid,79.2,Third,2020,Not Available,Individual,100173.9,Tier 3,115151.1,53.477812608847096,0
Madhya Pradesh,44.41,TVS,Apache RTR 160,261298,2016,294,Electric,72.19,Third,2021,Expired,Dealer,162383.27,Tier 3,98914.73000000001,37.855142404457744,5
Gujarat,68.59,Yamaha,R15 V4,348441,2017,583,Electric,64.86,Third,2017,Active,Individual,229069.06,Tier 2,119371.94,34.258867354875,0
Rajasthan,47.89,Yamaha,R15 V4,52332,2019,453,Electric,97.15,Third,2024,Not Available,Dealer,34387.4,Tier 3,17944.6,34.2899182144768,5
Uttar Pradesh,10.0,Honda,Shine,342869,2018,479,Electric,77.72,Second,2023,Not Available,Individual,240583.32,Tier 1,102285.68,29.83229163324768,5
Tamil Nadu,12.15,Hero,Passion Pro,178709,2019,406,Electric,83.0,Second,2021,Active,Dealer,126289.57,Tier 3,52419.42999999999,29.33228320901577,2
Madhya Pradesh,37.69,Hero,Splendor Plus,304466,2015,930,Electric,99.83,First,2015,Expired,Dealer,177765.68,Tier 2,126700.32,41.613947041705806,0
Maharashtra,25.52,KTM,250 Duke,340286,2018,438,Electric,65.19,Second,2021,Active,Individual,163750.28,Tier 1,176535.72,51.878631504087735,3
Karnataka,78.02,Kawasaki,Z650,297335,2015,835,Electric,64.72,Second,2020,Not Available,Dealer,128081.71,Tier 2,169253.28999999998,56.923433164612305,5
Delhi,54.79,KTM,125 Duke,296622,2021,453,Hybrid,63.06,Third,2021,Active,Individual,132567.49,Tier 3,164054.51,55.30760024543021,0
Punjab,61.73,Bajaj,Dominar 400,159344,2015,128,Electric,93.49,First,2015,Not Available,Dealer,80211.84,Tier 2,79132.16,49.66121096495632,0
Rajasthan,77.65,Bajaj,CT 100,241907,2024,530,Hybrid,77.05,First,2024,Not Available,Individual,144021.7,Tier 2,97885.29999999999,40.46402129744075,0
Delhi,79.21,Hero,Passion Pro,198952,2021,816,Petrol,49.02,First,2021,Active,Individual,103419.59,Metro,95532.41,48.017818368249635,0
Maharashtra,56.15,TVS,Jupiter,164488,2021,670,Electric,65.26,Second,2023,Active,Individual,124264.09,Tier 2,40223.91,24.454008803073783,2
Uttar Pradesh,16.1,Royal Enfield,Interceptor 650,167254,2020,109,Electric,84.15,Second,2021,Not Available,Dealer,129455.7,Metro,37798.3,22.599339926100424,1
Tamil Nadu,72.23,Kawasaki,Z650,155574,2024,840,Petrol,49.8,Second,2024,Expired,Individual,121376.15,Tier 1,34197.850000000006,21.981725738233898,0
West Bengal,38.2,Yamaha,Fascino 125,196186,2023,519,Petrol,35.81,First,2023,Active,Dealer,83122.39,Metro,113063.61,57.630824829498536,0
Rajasthan,33.62,TVS,Apache RTR 160,305039,2017,539,Electric,83.44,First,2017,Expired,Dealer,215505.69,Metro,89533.31,29.351430472824784,0
West Bengal,73.16,Royal Enfield,Meteor 350,395649,2017,999,Petrol,41.0,Third,2021,Expired,Dealer,265851.43,Tier 3,129797.57,32.80624240172476,4
Punjab,48.46,Kawasaki,Vulcan S,369820,2019,654,Electric,89.35,First,2019,Not Available,Individual,246408.54,Metro,123411.45999999999,33.370683034989995,0
Tamil Nadu,71.63,KTM,Duke 200,320626,2022,270,Petrol,46.57,Third,2023,Not Available,Dealer,156453.23,Tier 1,164172.77,51.203823145970695,1
